County,LocationName,Address,Dates
MECKLENBURG,ARDREY KELL HIGH SCHOOL,"10220 ARDREY KELL RD, CHARLOTTE, NC 28277","Thursday, 10/15/20, 8:00AM - 7:30PM
 Friday, 10/16/20, 8:00AM - 7:30PM
 Saturday, 10/17/20, 8:00AM - 3:00PM
 Sunday, 10/18/20, 1:00PM - 5:00PM
 Monday, 10/19/20, 8:00AM - 7:30PM
 Tuesday, 10/20/20, 8:00AM - 7:30PM
 Wednesday, 10/21/20, 8:00AM - 7:30PM
 Thursday, 10/22/20, 8:00AM - 7:30PM
 Friday, 10/23/20, 8:00AM - 7:30PM
 Saturday, 10/24/20, 8:00AM - 3:00PM
 Sunday, 10/25/20, 1:00PM - 5:00PM
 Monday, 10/26/20, 8:00AM - 7:30PM
 Tuesday, 10/27/20, 8:00AM - 7:30PM
 Wednesday, 10/28/20, 8:00AM - 7:30PM
 Thursday, 10/29/20, 8:00AM - 7:30PM
 Friday, 10/30/20, 8:00AM - 7:30PM
 Saturday, 10/31/20, 8:00AM - 3:00PM"
MECKLENBURG,GARINGER HIGH SCHOOL,"1100 EASTWAY DR, CHARLOTTE, NC 28205","Thursday, 10/15/20, 8:00AM - 7:30PM
 Friday, 10/16/20, 8:00AM - 7:30PM
 Saturday, 10/17/20, 8:00AM - 3:00PM
 Sunday, 10/18/20, 1:00PM - 5:00PM
 Monday, 10/19/20, 8:00AM - 7:30PM
 Tuesday, 10/20/20, 8:00AM - 7:30PM
 Wednesday, 10/21/20, 8:00AM - 7:30PM
 Thursday, 10/22/20, 8:00AM - 7:30PM
 Friday, 10/23/20, 8:00AM - 7:30PM
 Saturday, 10/24/20, 8:00AM - 3:00PM
 Sunday, 10/25/20, 1:00PM - 5:00PM
 Monday, 10/26/20, 8:00AM - 7:30PM
 Tuesday, 10/27/20, 8:00AM - 7:30PM
 Wednesday, 10/28/20, 8:00AM - 7:30PM
 Thursday, 10/29/20, 8:00AM - 7:30PM
 Friday, 10/30/20, 8:00AM - 7:30PM
 Saturday, 10/31/20, 8:00AM - 3:00PM"
MECKLENBURG,NORTH MECKLENBURG HIGH SCHOOL,"11201 OLD STATESVILLE RD, HUNTERSVILLE, NC 28078","Thursday, 10/15/20, 8:00AM - 7:30PM
 Friday, 10/16/20, 8:00AM - 7:30PM
 Saturday, 10/17/20, 8:00AM - 3:00PM
 Sunday, 10/18/20, 1:00PM - 5:00PM
 Monday, 10/19/20, 8:00AM - 7:30PM
 Tuesday, 10/20/20, 8:00AM - 7:30PM
 Wednesday, 10/21/20, 8:00AM - 7:30PM
 Thursday, 10/22/20, 8:00AM - 7:30PM
 Friday, 10/23/20, 8:00AM - 7:30PM
 Saturday, 10/24/20, 8:00AM - 3:00PM
 Sunday, 10/25/20, 1:00PM - 5:00PM
 Monday, 10/26/20, 8:00AM - 7:30PM
 Tuesday, 10/27/20, 8:00AM - 7:30PM
 Wednesday, 10/28/20, 8:00AM - 7:30PM
 Thursday, 10/29/20, 8:00AM - 7:30PM
 Friday, 10/30/20, 8:00AM - 7:30PM
 Saturday, 10/31/20, 8:00AM - 3:00PM"
MECKLENBURG,HOUGH HIGH SCHOOL,"12420 BAILEY RD, CORNELIUS, NC 28031","Thursday, 10/15/20, 8:00AM - 7:30PM
 Friday, 10/16/20, 8:00AM - 7:30PM
 Saturday, 10/17/20, 8:00AM - 3:00PM
 Sunday, 10/18/20, 1:00PM - 5:00PM
 Monday, 10/19/20, 8:00AM - 7:30PM
 Tuesday, 10/20/20, 8:00AM - 7:30PM
 Wednesday, 10/21/20, 8:00AM - 7:30PM
 Thursday, 10/22/20, 8:00AM - 7:30PM
 Friday, 10/23/20, 8:00AM - 7:30PM
 Saturday, 10/24/20, 8:00AM - 3:00PM
 Sunday, 10/25/20, 1:00PM - 5:00PM
 Monday, 10/26/20, 8:00AM - 7:30PM
 Tuesday, 10/27/20, 8:00AM - 7:30PM
 Wednesday, 10/28/20, 8:00AM - 7:30PM
 Thursday, 10/29/20, 8:00AM - 7:30PM
 Friday, 10/30/20, 8:00AM - 7:30PM
 Saturday, 10/31/20, 8:00AM - 3:00PM"
MECKLENBURG,SOUTHWEST MIDDLE SCHOOL,"13624 STEELE CREEK RD, CHARLOTTE, NC 28273","Thursday, 10/15/20, 8:00AM - 7:30PM
 Friday, 10/16/20, 8:00AM - 7:30PM
 Saturday, 10/17/20, 8:00AM - 3:00PM
 Sunday, 10/18/20, 1:00PM - 5:00PM
 Monday, 10/19/20, 8:00AM - 7:30PM
 Tuesday, 10/20/20, 8:00AM - 7:30PM
 Wednesday, 10/21/20, 8:00AM - 7:30PM
 Thursday, 10/22/20, 8:00AM - 7:30PM
 Friday, 10/23/20, 8:00AM - 7:30PM
 Saturday, 10/24/20, 8:00AM - 3:00PM
 Sunday, 10/25/20, 1:00PM - 5:00PM
 Monday, 10/26/20, 8:00AM - 7:30PM
 Tuesday, 10/27/20, 8:00AM - 7:30PM
 Wednesday, 10/28/20, 8:00AM - 7:30PM
 Thursday, 10/29/20, 8:00AM - 7:30PM
 Friday, 10/30/20, 8:00AM - 7:30PM
 Saturday, 10/31/20, 8:00AM - 3:00PM"
MECKLENBURG,NORTH COUNTY REGIONAL LIBRARY,"16500 HOLLY CREST LN, HUNTERSVILLE, NC 28078","Thursday, 10/15/20, 8:00AM - 7:30PM
 Friday, 10/16/20, 8:00AM - 7:30PM
 Saturday, 10/17/20, 8:00AM - 3:00PM
 Sunday, 10/18/20, 1:00PM - 5:00PM
 Monday, 10/19/20, 8:00AM - 7:30PM
 Tuesday, 10/20/20, 8:00AM - 7:30PM
 Wednesday, 10/21/20, 8:00AM - 7:30PM
 Thursday, 10/22/20, 8:00AM - 7:30PM
 Friday, 10/23/20, 8:00AM - 7:30PM
 Saturday, 10/24/20, 8:00AM - 3:00PM
 Sunday, 10/25/20, 1:00PM - 5:00PM
 Monday, 10/26/20, 8:00AM - 7:30PM
 Tuesday, 10/27/20, 8:00AM - 7:30PM
 Wednesday, 10/28/20, 8:00AM - 7:30PM
 Thursday, 10/29/20, 8:00AM - 7:30PM
 Friday, 10/30/20, 8:00AM - 7:30PM
 Saturday, 10/31/20, 8:00AM - 3:00PM"
MECKLENBURG,PROVIDENCE HIGH SCHOOL,"1800 PINEVILLE-MATTHEWS RD, CHARLOTTE, NC 28270","Thursday, 10/15/20, 8:00AM - 7:30PM
 Friday, 10/16/20, 8:00AM - 7:30PM
 Saturday, 10/17/20, 8:00AM - 3:00PM
 Sunday, 10/18/20, 1:00PM - 5:00PM
 Monday, 10/19/20, 8:00AM - 7:30PM
 Tuesday, 10/20/20, 8:00AM - 7:30PM
 Wednesday, 10/21/20, 8:00AM - 7:30PM
 Thursday, 10/22/20, 8:00AM - 7:30PM
 Friday, 10/23/20, 8:00AM - 7:30PM
 Saturday, 10/24/20, 8:00AM - 3:00PM
 Sunday, 10/25/20, 1:00PM - 5:00PM
 Monday, 10/26/20, 8:00AM - 7:30PM
 Tuesday, 10/27/20, 8:00AM - 7:30PM
 Wednesday, 10/28/20, 8:00AM - 7:30PM
 Thursday, 10/29/20, 8:00AM - 7:30PM
 Friday, 10/30/20, 8:00AM - 7:30PM
 Saturday, 10/31/20, 8:00AM - 3:00PM"
MECKLENBURG,BUTLER HIGH SCHOOL,"1810 MATTHEWS-MINT HILL RD, MATTHEWS, NC 28105","Thursday, 10/15/20, 8:00AM - 7:30PM
 Friday, 10/16/20, 8:00AM - 7:30PM
 Saturday, 10/17/20, 8:00AM - 3:00PM
 Sunday, 10/18/20, 1:00PM - 5:00PM
 Monday, 10/19/20, 8:00AM - 7:30PM
 Tuesday, 10/20/20, 8:00AM - 7:30PM
 Wednesday, 10/21/20, 8:00AM - 7:30PM
 Thursday, 10/22/20, 8:00AM - 7:30PM
 Friday, 10/23/20, 8:00AM - 7:30PM
 Saturday, 10/24/20, 8:00AM - 3:00PM
 Sunday, 10/25/20, 1:00PM - 5:00PM
 Monday, 10/26/20, 8:00AM - 7:30PM
 Tuesday, 10/27/20, 8:00AM - 7:30PM
 Wednesday, 10/28/20, 8:00AM - 7:30PM
 Thursday, 10/29/20, 8:00AM - 7:30PM
 Friday, 10/30/20, 8:00AM - 7:30PM
 Saturday, 10/31/20, 8:00AM - 3:00PM"
MECKLENBURG,INDEPENDENCE HIGH SCHOOL,"1967 PATRIOT DR, CHARLOTTE, NC 28277","Thursday, 10/15/20, 8:00AM - 7:30PM
 Friday, 10/16/20, 8:00AM - 7:30PM
 Saturday, 10/17/20, 8:00AM - 3:00PM
 Sunday, 10/18/20, 1:00PM - 5:00PM
 Monday, 10/19/20, 8:00AM - 7:30PM
 Tuesday, 10/20/20, 8:00AM - 7:30PM
 Wednesday, 10/21/20, 8:00AM - 7:30PM
 Thursday, 10/22/20, 8:00AM - 7:30PM
 Friday, 10/23/20, 8:00AM - 7:30PM
 Saturday, 10/24/20, 8:00AM - 3:00PM
 Sunday, 10/25/20, 1:00PM - 5:00PM
 Monday, 10/26/20, 8:00AM - 7:30PM
 Tuesday, 10/27/20, 8:00AM - 7:30PM
 Wednesday, 10/28/20, 8:00AM - 7:30PM
 Thursday, 10/29/20, 8:00AM - 7:30PM
 Friday, 10/30/20, 8:00AM - 7:30PM
 Saturday, 10/31/20, 8:00AM - 3:00PM"
MECKLENBURG,MATTHEWS ELEMENTARY SCHOOL,"200 E MCDOWELL ST, MATTHEWS, NC 28105","Thursday, 10/15/20, 8:00AM - 7:30PM
 Friday, 10/16/20, 8:00AM - 7:30PM
 Saturday, 10/17/20, 8:00AM - 3:00PM
 Sunday, 10/18/20, 1:00PM - 5:00PM
 Monday, 10/19/20, 8:00AM - 7:30PM
 Tuesday, 10/20/20, 8:00AM - 7:30PM
 Wednesday, 10/21/20, 8:00AM - 7:30PM
 Thursday, 10/22/20, 8:00AM - 7:30PM
 Friday, 10/23/20, 8:00AM - 7:30PM
 Saturday, 10/24/20, 8:00AM - 3:00PM
 Sunday, 10/25/20, 1:00PM - 5:00PM
 Monday, 10/26/20, 8:00AM - 7:30PM
 Tuesday, 10/27/20, 8:00AM - 7:30PM
 Wednesday, 10/28/20, 8:00AM - 7:30PM
 Thursday, 10/29/20, 8:00AM - 7:30PM
 Friday, 10/30/20, 8:00AM - 7:30PM
 Saturday, 10/31/20, 8:00AM - 3:00PM"
MECKLENBURG,CORNELIUS TOWN HALL,"21445 CATAWBA AVE, CORNELIUS, NC 28031","Thursday, 10/15/20, 8:00AM - 7:30PM
 Friday, 10/16/20, 8:00AM - 7:30PM
 Saturday, 10/17/20, 8:00AM - 3:00PM
 Sunday, 10/18/20, 1:00PM - 5:00PM
 Monday, 10/19/20, 8:00AM - 7:30PM
 Tuesday, 10/20/20, 8:00AM - 7:30PM
 Wednesday, 10/21/20, 8:00AM - 7:30PM
 Thursday, 10/22/20, 8:00AM - 7:30PM
 Friday, 10/23/20, 8:00AM - 7:30PM
 Saturday, 10/24/20, 8:00AM - 3:00PM
 Sunday, 10/25/20, 1:00PM - 5:00PM
 Monday, 10/26/20, 8:00AM - 7:30PM
 Tuesday, 10/27/20, 8:00AM - 7:30PM
 Wednesday, 10/28/20, 8:00AM - 7:30PM
 Thursday, 10/29/20, 8:00AM - 7:30PM
 Friday, 10/30/20, 8:00AM - 7:30PM
 Saturday, 10/31/20, 8:00AM - 3:00PM"
MECKLENBURG,WEST BOULEVARD LIBRARY,"2157 WEST BLVD, CHARLOTTE, NC 28208","Thursday, 10/15/20, 8:00AM - 7:30PM
 Friday, 10/16/20, 8:00AM - 7:30PM
 Saturday, 10/17/20, 8:00AM - 3:00PM
 Sunday, 10/18/20, 1:00PM - 5:00PM
 Monday, 10/19/20, 8:00AM - 7:30PM
 Tuesday, 10/20/20, 8:00AM - 7:30PM
 Wednesday, 10/21/20, 8:00AM - 7:30PM
 Thursday, 10/22/20, 8:00AM - 7:30PM
 Friday, 10/23/20, 8:00AM - 7:30PM
 Saturday, 10/24/20, 8:00AM - 3:00PM
 Sunday, 10/25/20, 1:00PM - 5:00PM
 Monday, 10/26/20, 8:00AM - 7:30PM
 Tuesday, 10/27/20, 8:00AM - 7:30PM
 Wednesday, 10/28/20, 8:00AM - 7:30PM
 Thursday, 10/29/20, 8:00AM - 7:30PM
 Friday, 10/30/20, 8:00AM - 7:30PM
 Saturday, 10/31/20, 8:00AM - 3:00PM"
MECKLENBURG,WEST CHARLOTTE HIGH SCHOOL,"2219 SENIOR DR, CHARLOTTE, NC 28216","Thursday, 10/15/20, 8:00AM - 7:30PM
 Friday, 10/16/20, 8:00AM - 7:30PM
 Saturday, 10/17/20, 8:00AM - 3:00PM
 Sunday, 10/18/20, 1:00PM - 5:00PM
 Monday, 10/19/20, 8:00AM - 7:30PM
 Tuesday, 10/20/20, 8:00AM - 7:30PM
 Wednesday, 10/21/20, 8:00AM - 7:30PM
 Thursday, 10/22/20, 8:00AM - 7:30PM
 Friday, 10/23/20, 8:00AM - 7:30PM
 Saturday, 10/24/20, 8:00AM - 3:00PM
 Sunday, 10/25/20, 1:00PM - 5:00PM
 Monday, 10/26/20, 8:00AM - 7:30PM
 Tuesday, 10/27/20, 8:00AM - 7:30PM
 Wednesday, 10/28/20, 8:00AM - 7:30PM
 Thursday, 10/29/20, 8:00AM - 7:30PM
 Friday, 10/30/20, 8:00AM - 7:30PM
 Saturday, 10/31/20, 8:00AM - 3:00PM"
MECKLENBURG,QUEENS SPORTS COMPLEX AT MARION DIEHL PARK,"2229 TYVOLA RD, CHARLOTTE, NC 28210","Thursday, 10/15/20, 8:00AM - 7:30PM
 Friday, 10/16/20, 8:00AM - 7:30PM
 Saturday, 10/17/20, 8:00AM - 3:00PM
 Sunday, 10/18/20, 1:00PM - 5:00PM
 Monday, 10/19/20, 8:00AM - 7:30PM
 Tuesday, 10/20/20, 8:00AM - 7:30PM
 Wednesday, 10/21/20, 8:00AM - 7:30PM
 Thursday, 10/22/20, 8:00AM - 7:30PM
 Friday, 10/23/20, 8:00AM - 7:30PM
 Saturday, 10/24/20, 8:00AM - 3:00PM
 Sunday, 10/25/20, 1:00PM - 5:00PM
 Monday, 10/26/20, 8:00AM - 7:30PM
 Tuesday, 10/27/20, 8:00AM - 7:30PM
 Wednesday, 10/28/20, 8:00AM - 7:30PM
 Thursday, 10/29/20, 8:00AM - 7:30PM
 Friday, 10/30/20, 8:00AM - 7:30PM
 Saturday, 10/31/20, 8:00AM - 3:00PM"
MECKLENBURG,MYERS PARK HIGH SCHOOL,"2400 COLONY RD, CHARLOTTE, NC 28209","Thursday, 10/15/20, 8:00AM - 7:30PM
 Friday, 10/16/20, 8:00AM - 7:30PM
 Saturday, 10/17/20, 8:00AM - 3:00PM
 Sunday, 10/18/20, 1:00PM - 5:00PM
 Monday, 10/19/20, 8:00AM - 7:30PM
 Tuesday, 10/20/20, 8:00AM - 7:30PM
 Wednesday, 10/21/20, 8:00AM - 7:30PM
 Thursday, 10/22/20, 8:00AM - 7:30PM
 Friday, 10/23/20, 8:00AM - 7:30PM
 Saturday, 10/24/20, 8:00AM - 3:00PM
 Sunday, 10/25/20, 1:00PM - 5:00PM
 Monday, 10/26/20, 8:00AM - 7:30PM
 Tuesday, 10/27/20, 8:00AM - 7:30PM
 Wednesday, 10/28/20, 8:00AM - 7:30PM
 Thursday, 10/29/20, 8:00AM - 7:30PM
 Friday, 10/30/20, 8:00AM - 7:30PM
 Saturday, 10/31/20, 8:00AM - 3:00PM"
MECKLENBURG,BEATTIES FORD LIBRARY,"2412 BEATTIES FORD RD, CHARLOTTE, NC 28216","Thursday, 10/15/20, 8:00AM - 7:30PM
 Friday, 10/16/20, 8:00AM - 7:30PM
 Saturday, 10/17/20, 8:00AM - 3:00PM
 Sunday, 10/18/20, 1:00PM - 5:00PM
 Monday, 10/19/20, 8:00AM - 7:30PM
 Tuesday, 10/20/20, 8:00AM - 7:30PM
 Wednesday, 10/21/20, 8:00AM - 7:30PM
 Thursday, 10/22/20, 8:00AM - 7:30PM
 Friday, 10/23/20, 8:00AM - 7:30PM
 Saturday, 10/24/20, 8:00AM - 3:00PM
 Sunday, 10/25/20, 1:00PM - 5:00PM
 Monday, 10/26/20, 8:00AM - 7:30PM
 Tuesday, 10/27/20, 8:00AM - 7:30PM
 Wednesday, 10/28/20, 8:00AM - 7:30PM
 Thursday, 10/29/20, 8:00AM - 7:30PM
 Friday, 10/30/20, 8:00AM - 7:30PM
 Saturday, 10/31/20, 8:00AM - 3:00PM"
