,precno,name,type,location,address
0,1.0,WESTMINSTER PRESBYTERIAN CHURCH,Restricted,WESTMINSTER PRESBYTERIAN CHURCH - BEARD HALL,"101 COLVILLE RD, CHARLOTTE, NC"
1,3.0,COCHRANE COLLEGIATE ACADEMY,Campaigning Permitted,COCHRANE COLLEGIATE ACADEMY - GYM,"6200 STARHAVEN DR, CHARLOTTE, NC"
2,5.0,THIRD PRESBYTERIAN CHURCH,Restricted,THIRD PRESBYTERIAN CHURCH- FELLOWSHIP HALL,"4019 CENTRAL AVE, CHARLOTTE, NC"
3,7.0,RANDOLPH MIDDLE SCHOOL,Campaigning Permitted,RANDOLPH MIDDLE SCHOOL - MEDIA CENTER,"4400 WATER OAK RD, CHARLOTTE, NC"
4,8.0,MYERS PARK ELEMENTARY SCHOOL,Campaigning Permitted,MYERS PARK ELEMENTARY SCHOOL - GYM,"2132 RADCLIFFE AVE, CHARLOTTE, NC"
5,12.0,WALLACE PRUITT RECREATION CENTER,Campaigning Permitted,WALLACE PRUITT RECREATION CENTER - GYM,"440 TUCKASEEGEE RD, CHARLOTTE, NC"
6,13.0,FIRST WARD ELEMENTARY SCHOOL,Campaigning Permitted,FIRST WARD ELEMENTARY SCHOOL - FLEX ROOM IN ANNEX,"715 N CALDWELL ST, CHARLOTTE, NC"
7,15.0,MIDWOOD BAPTIST CHURCH,Restricted,MIDWOOD BAPTIST CHURCH - FELLOWSHIP HALL,"2029 MECKLENBURG AVE, CHARLOTTE, NC"
8,18.0,EASTOVER ELEMENTARY SCHOOL,Campaigning Permitted,EASTOVER ELEMENTARY SCHOOL - GYM,"500 CHEROKEE RD, CHARLOTTE, NC"
9,19.0,MYERS PARK HIGH SCHOOL,Campaigning Permitted,MYERS PARK HIGH SCHOOL - ART GALLERY,"2400 COLONY RD, CHARLOTTE, NC"
10,20.0,AVONDALE PRESBYTERIAN CHURCH,Restricted,AVONDALE PRESBYTERIAN CHURCH - FAMILY LIFE CENTER,"2821 PARK RD, CHARLOTTE, NC"
11,21.0,SEDGEFIELD UNITED METHODIST CHURCH,Restricted,SEDGEFIELD UNITED METHODIST CHURCH - FELLOWSHIP HALL,"2830 DORCHESTER PL, CHARLOTTE, NC"
12,23.0,BISHOP SPAUGH COMMUNITY ACADEMY,Campaigning Permitted,BISHOP SPAUGH COMMUNITY ACADEMY - CAFETERIA,"1901 HERBERT SPAUGH LN, CHARLOTTE, NC"
13,24.0,BETTE RAE THOMAS RECREATION CENTER,Campaigning Permitted,BETTE RAE THOMAS RECREATION CENTER - GYM,"2921 TUCKASEEGEE RD, CHARLOTTE, NC"
14,25.0,WEST CHARLOTTE RECREATION CENTER,Campaigning Permitted,WEST CHARLOTTE RECREATION CENTER - MULTI-PURPOSE ROOM 3,"2401 KENDALL DR, CHARLOTTE, NC"
15,27.0,HIGHLAND RENAISSANCE ACADEMY,Campaigning Permitted,HIGHLAND RENAISSANCE ACADEMY - MULTI-PURPOSE ROOM,"125 W CRAIGHEAD RD, CHARLOTTE, NC"
16,29.0,MERRY OAKS ELEMENTARY SCHOOL,Campaigning Permitted,MERRY OAKS ELEMENTARY SCHOOL - MULTI-PURPOSE ROOM,"3508 DRAPER AVE, CHARLOTTE, NC"
17,31.0,BARRINGER ACADEMIC CENTER,Campaigning Permitted,BARRINGER ACADEMIC CENTER - MULTI-PURPOSE ROOM,"1546 WALTON RD, CHARLOTTE, NC"
18,32.0,CHRIST EPISCOPAL CHURCH,Restricted,CHRIST EPISCOPAL CHURCH - ALL SAINTS HALL,"1412 PROVIDENCE RD, CHARLOTTE, NC"
19,33.0,EASTWAY MIDDLE SCHOOL,Campaigning Permitted,EASTWAY MIDDLE SCHOOL - GYM,"1501 NORLAND RD, CHARLOTTE, NC"
20,34.0,OAKHURST STEAM ACADEMY,Restricted,OAKHURST STEAM ACADEMY - CAFETERIA,"4511 MONROE RD, CHARLOTTE, NC"
21,35.0,COTSWOLD ELEMENTARY SCHOOL,Campaigning Permitted,COTSWOLD ELEMENTARY SCHOOL - GYM,"300 GREENWICH RD, CHARLOTTE, NC"
22,36.0,PROVIDENCE BAPTIST CHURCH,Restricted,PROVIDENCE BAPTIST CHURCH - FELLOWSHIP HALL,"4921 RANDOLPH RD, CHARLOTTE, NC"
23,37.0,PINEWOOD ELEMENTARY SCHOOL,Campaigning Permitted,PINEWOOD ELEMENTARY SCHOOL - GYM,"805 SENECA PL, CHARLOTTE, NC"
24,10.0,HOLY TRINITY GREEK ORTHODOX CATHEDRAL,Restricted,HOLY TRINITY GREEK ORTHODOX CATHEDRAL - SOCIAL HALL,"600 EAST BLVD, CHARLOTTE, NC"
25,6.0,AMITY PRESBYTERIAN CHURCH,Restricted,AMITY PRESBYTERIAN CHURCH - FELLOWSHIP HALL,"2831 N SHARON AMITY RD, CHARLOTTE, NC"
26,9.0,COVENANT PRESBYTERIAN CHURCH,Restricted,COVENANT PRESBYTERIAN CHURCH - FELLOWSHIP HALL,"1000 E MOREHEAD ST, CHARLOTTE, NC"
27,11.0,GREATER MOUNT MORIAH BAPTIST CHURCH,Partially Restricted/No Signs,GREATER MOUNT MORIAH BAPTIST CHURCH - FAMILY LIFE,"727 W TRADE ST, CHARLOTTE, NC"
28,14.0,HAWTHORNE ACADEMY,Campaigning Permitted,HAWTHORNE ACADEMY - MULTIPURPOSE ROOM,"1411 HAWTHORNE LN, CHARLOTTE, NC"
29,26.0,EBENEZER BAPTIST CHURCH,Restricted,EBENEZER BAPTIST CHURCH - FELLOWSHIP HALL,"2020 W SUGAR CREEK RD, CHARLOTTE, NC"
30,30.0,PLAZA ROAD CHILDREN'S ACADEMY,Campaigning Permitted,PLAZA ROAD CHILDREN'S ACADEMY - GYM,"1000 ANDERSON ST, CHARLOTTE, NC"
31,2.0,ST JOHN'S BAPTIST CHURCH,Restricted,ST JOHN'S BAPTIST CHURCH - BROACH HALL,"300 HAWTHORNE LN, CHARLOTTE, NC"
32,16.0,EAST STONEWALL AME ZION CHURCH,Campaigning Permitted,EAST STONEWALL AME ZION CHURCH - FAMILY LIFE CENTER,"1729 GRIERS GROVE RD, CHARLOTTE, NC"
33,22.0,GREATER GALILEE BAPTIST CHURCH,Partially Restricted/No Signs,GREATER GALILEE BAPTIST CHURCH,"501 W PARK AV, CHARLOTTE, NC"
34,28.0,NEW COVENANT ARP CHURCH,Restricted,NEW COVENANT ARP CHURCH - FELLOWSHIP HALL,"2541 ELKWOOD CIR, CHARLOTTE, NC"
35,17.0,BILLINGSVILLE ELEMENTARY SCHOOL,Campaigning Permitted,BILLINGSVILLE ELEMENTARY SCHOOL - GYM,"124 SKYLAND AVE, CHARLOTTE, NC"
36,38.0,COLLINSWOOD ELEMENTARY SCHOOL,Campaigning Permitted,COLLINSWOOD ELEMENTARY SCHOOL - GYM,"4000 APPLEGATE RD, CHARLOTTE, NC"
37,39.0,SOUTHVIEW RECREATION CENTER,Campaigning Permitted,SOUTHVIEW RECREATION CENTER - GYM,"1720 VILMA ST, CHARLOTTE, NC"
38,40.0,THOMASBORO ELEMENTARY SCHOOL,Campaigning Permitted,THOMASBORO ELEMENTARY SCHOOL - GYM,"538 BRADFORD DR, CHARLOTTE, NC"
39,42.0,HIDDEN VALLEY ELEMENTARY SCHOOL,Campaigning Permitted,HIDDEN VALLEY SCHOOL - MULTI-PURPOSE ROOM,"5100 SNOW WHITE LN, CHARLOTTE, NC"
40,44.0,SHAMROCK GARDENS ELEMENTARY SCHOOL,Campaigning Permitted,SHAMROCK GARDENS ELEMENTARY SCHOOL - MEDIA CENTER,"3301 COUNTRY CLUB DR, CHARLOTTE, NC"
41,45.0,WINDSOR PARK ELEMENTARY,Campaigning Permitted,WINDSOR PARK ELEMENTARY SCHOOL - MULTI-PURPOSE ROOM,"3910 SUDBURY RD, CHARLOTTE, NC"
42,47.0,MINT MUSEUM RANDOLPH,Campaigning Permitted,MINT MUESUM - IVEY ROOM,"2730 RANDOLPH RD, CHARLOTTE, NC"
43,48.0,PROVIDENCE UNITED METHODIST CHURCH,Partially Restricted/No Signs,PROVIDENCE UNITED METHODIST CHURCH - LOWER LEVEL,"2810 PROVIDENCE RD, CHARLOTTE, NC"
44,50.0,TYVOLA SENIOR CENTER,Unrestricted,TYVOLA SENIOR CENTER - MULTI-PURPOSE ROOM,"2225 TYVOLA RD, CHARLOTTE, NC"
45,53.0,GREATER FELLOWSHIP MISSIONARY BAPTIST CHURCH,Restricted,GREATER FELLOWSHIP MISSIONARY BAPTIST CHURCH-FELLOWSHIP HALL,"2422 ASHLEY RD, CHARLOTTE, NC"
46,54.0,OAKLAWN LANGAUGE ACADEMY,Campaigning Permitted,OAKLAWN LANGUAGE ACADEMY - GYM,"1810 OAKLAWN AVE, CHARLOTTE, NC"
47,55.0,LINCOLN HEIGHTS ELEMENTARY SCHOOL,Campaigning Permitted,LINCOLN HEIGHTS ELEMENTARY SCHOOL - CAFETERIA,"1900 NEWCASTLE ST, CHARLOTTE, NC"
48,56.0,DRUID HILLS ELEMENTARY SCHOOL,Campaigning Permitted,DRUID HILLS ELEMENTARY SCHOOL - MULTI-PURPOSE ROOM,"2801 LUCENA ST, CHARLOTTE, NC"
49,57.0,SHARON PRESBYTERIAN CHURCH,Restricted,SHARON PRESBYTERIAN CHURCH - GYM,"5201 SHARON RD, CHARLOTTE, NC"
50,58.0,STARMOUNT ADMINISTRATIVE CENTER,Campaigning Permitted,STARMOUNT ACADEMY OF EXCELLENCE,"1600 BROOKDALE AVE, CHARLOTTE, NC"
51,59.0,MONTCLAIR ELEMENTARY SCHOOL,Campaigning Permitted,MONTCLAIRE ELEMENTARY SCHOOL - GYM,"5801 FARMBROOK DR, CHARLOTTE, NC"
52,60.0,BRIARWOOD ELEMENTARY SCHOOL,Campaigning Permitted,BRIARWOOD ELEMENTARY SCHOOL - CAFETERIA,"1001 WILANN DR, CHARLOTTE, NC"
53,61.0,CHARLOTTE MUSEUM OF HISTORY,Partially Restricted/No Signs,CHARLOTTE MUSEUM OF HISTORY,"3500 SHAMROCK DR, CHARLOTTE, NC"
54,62.0,ALBEMARLE ROAD ELEMENTARY SCHOOL,Campaigning Permitted,ALBEMARLE ROAD ELEMENTARY SCHOOL - MULTI-PURPOSE ROOM,"7800 RIDING TRAIL RD, CHARLOTTE, NC"
55,63.0,IDLEWILD ELEMENTARY,Unrestricted,IDLEWILD ELEMENTARY - GYMNASIUM,"7101 IDLEWILD RD, CHARLOTTE, NC"
56,64.0,BEN SALEM PRESBYTERIAN CHURCH,Campaigning Permitted,BEN SALEM PRESBYTERIAN CHURCH - FELLOWSHIP HALL,"6801 MONROE RD, CHARLOTTE, NC"
57,65.0,SARDIS PRESBYTERIAN CHURCH,Restricted,SARDIS PRESBYTERIAN CHURCH - EDUCATION BUILDING,"6100 SARDIS RD, CHARLOTTE, NC"
58,66.0,RAMA ROAD ELEMENTARY SCHOOL,Campaigning Permitted,RAMA ROAD ELEMENTARY SCHOOL - GYM,"1035 RAMA RD, CHARLOTTE, NC"
59,67.0,LANSDOWNE ELEMENTARY SCHOOL,Campaigning Permitted,LANSDOWNE ELEMENTARY SCHOOL - MULTI-PURPOSE ROOM,"6400 PRETT CT, CHARLOTTE, NC"
60,70.0,REFORMED THEOLOGICAL SEMINARY,Restricted,REFORMED THEOLOGICAL SEMINARY,"2101 CARMEL RD, CHARLOTTE, NC"
61,71.0,SHARON ELEMENTARY SCHOOL,Campaigning Permitted,SHARON ELEMENTARY SCHOOL - MULTI-PURPOSE ROOM,"4330 FOXCROFT RD, CHARLOTTE, NC"
62,72.0,CARMEL PRESBYTERIAN CHURCH,Restricted,CARMEL PRESBYTERIAN CHURCH - LIGON HALL,"2048 CARMEL RD, CHARLOTTE, NC"
63,73.0,HEATHSTEAD COMMUNITY CENTER,Restricted,HEATHSTEAD COMMUNITY CENTER - CLUBHOUSE,"6140 HEATH RIDGE CT, CHARLOTTE, NC"
64,74.0,ALEXANDER GRAHAM MIDDLE SCHOOL,Campaigning Permitted,ALEXANDER GRAHAM MIDDLE SCHOOL - MULTI-PURPOSE ROOM,"1800 RUNNYMEDE LN, CHARLOTTE, NC"
65,43.0,GARINGER HIGH SCHOOL,Campaigning Permitted,GARINGER HIGH SCHOOL - GYM,"1100 EASTWAY DR, CHARLOTTE, NC"
66,46.0,WTVI TELEVISON STATION,Restricted,WTVI TELEVISION STATION - BOARD ROOM,"3242 COMMONWEALTH AVE, CHARLOTTE, NC"
67,49.0,PARK ROAD MONTESSORI SCHOOL,Campaigning Permitted,PARK ROAD MONTESSORI - MEDIA CENTER,"3701 HAVEN DR, CHARLOTTE, NC"
68,51.0,SALVATION ARMY CLUB,Restricted,SALVATION ARMY CLUB - GYM,"940 MARSH ROAD, CHARLOTTE, NC"
69,68.0,ST STEPHEN UNITED METHODIST CHURCH,Restricted,ST STEPHEN UNITED METHODIST CHURCH - ROOM 200,"6800 SARDIS RD, CHARLOTTE, NC"
70,69.0,OLDE PROVIDENCE ELEMENTARY SCHOOL,Campaigning Permitted,OLDE PROVIDENCE SCHOOL - MEDIA CENTER,"3800 REA RD, CHARLOTTE, NC"
71,52.0,ST MARK'S UNITED METHODIST CHURCH,Campaigning Permitted,ST MARK'S UNITED METHODIST CHURCH - FELLOWSHIP HALL,"917 CLANTON RD, CHARLOTTE, NC"
72,75.0,SOUTH PARK CHRISTIAN CHURCH,Restricted,SOUTH PARK CHRISTIAN CHURCH-SANCTUARY,"6650 PARK SOUTH DR, CHARLOTTE, NC"
73,76.0,FOREST HILL CHURCH,Restricted,FOREST HILL CHURCH - EXPLORATORIUM,"7224 PARK ROAD, CHARLOTTE, NC"
74,77.0,CPCC HARPER CAMPUS,Campaigning Permitted,CPCC HARPER CAMPUS - CONFERENCE ROOM HP112,"315 W HEBRON ST, CHARLOTTE, NC"
75,78.0,ALDERSGATE UNITED METHODIST CHURCH,Restricted,ALDERSGATE UNITED METHODIST CHURCH - FELLOWSHIP HALL,"5338 NATIONS FORD RD, CHARLOTTE, NC"
76,79.0,TUCKASEEGEE ELEMENTARY SCHOOL,Campaigning Permitted,TUCKASEEGEE ELEMENTARY SCHOOL - MULTI-PURPOSE ROOM,"2028 LITTLE ROCK RD, CHARLOTTE, NC"
77,80.0,THRIFT BAPTIST CHURCH,Campaigning Permitted,THRIFT BAPTIST CHURCH - TROY HARKEY FELLOWSHIP HALL,"8415 MOORES CHAPEL RD, CHARLOTTE, NC"
78,81.0,ALLENBROOK ELEMENTARY SCHOOL,Campaigning Permitted,ALLENBROOK ELEMENTARY SCHOOL - MULTI-PURPOSE ROOM,"1430 ALLENBROOK DR, CHARLOTTE, NC"
79,83.0,ALBEMARLE ROAD PRESBYTERIAN CHURCH,Restricted,ALBEMARLE ROAD PRESBYTERIAN CHURCH - GYM,"6740 ALBEMARLE RD, CHARLOTTE, NC"
80,85.0,CHARLOTTE SECONDARY SCHOOL,Unrestricted,CHARLOTTE SECONDARY SCHOOL - GYM,"8601 MCALPINE PARK DR, CHARLOTTE, NC"
81,86.0,CARMEL MIDDLE SCHOOL,Campaigning Permitted,CARMEL MIDDLE SCHOOL - MEDIA CENTER,"5001 CAMILLA DR, CHARLOTTE, NC"
82,87.0,PINEVILLE CHURCH OF THE NAZARENE,Restricted,PINEVILLE CHURCH OF THE NAZARENE - GYM,"8614 PINEVILLE-MATTHEWS RD, CHARLOTTE, NC"
83,88.0,LIVING SAVIOUR LUTHERAN CHURCH,Restricted,LIVING SAVIOUR LUTHERAN CHURCH - FELLOWSHIP HALL,"6817 CARMEL RD, CHARLOTTE, NC"
84,89.0,COULWOOD MIDDLE SCHOOL,Campaigning Permitted,COULWOOD MIDDLE SCHOOL - LIBRARY MEDIA CENTER,"500 KENTBERRY DR, CHARLOTTE, NC"
85,90.0,SOUTH CHARLOTTE MIDDLE SCHOOL,Campaigning Permitted,SOUTH CHARLOTTE MIDDLE SCHOOL - DANCE ROOM,"8040 STRAWBERRY LN, CHARLOTTE, NC"
86,91.0,PROVIDENCE PRESBYTERIAN CHURCH,Restricted,PROVIDENCE PRESBYTERIAN CHURCH - FELLOWSHIP HALL,"10140 PROVIDENCE CHURCH LN, CHARLOTTE, NC"
87,92.0,QUAIL HOLLOW PRESBYTERIAN CHURCH,Restricted,QUAIL HOLLOW PRESBYTERIAN CHURCH - FELLOWSHIP HALL,"8801 PARK ROAD, CHARLOTTE, NC"
88,93.0,CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS,Restricted,CHURCH OF JESUS CHRIST LATTER DAY SAINTS - GYM,"5815 CARMEL RD, CHARLOTTE, NC"
89,95.0,HICKORY GROVE UNITED METHODIST CHURCH,Restricted,HICKORY GROVE UNITED METHODIST CHURCH - GYM,"6401 HICKORY GROVE RD, CHARLOTTE, NC"
90,100.0,WESLEY UNITED METHODIST CHURCH,Restricted,WESLEY UNITED METHODIST CHURCH - FELLOWSHIP HALL,"3715 REA RD, CHARLOTTE, NC"
91,102.0,BIBLE BAPTIST CHURCH,Restricted,BIBLE BAPTIST CHURCH - GYM,"2724 MARGARET WALLACE RD, MATTHEWS, NC"
92,103.0,CROSS AND CROWN LUTHERAN CHURCH,Restricted,CROSS AND CROWN LUTHERAN CHURCH - FELLOWSHIP HALL,"300 PINEVILLE-MATTHEWS RD, MATTHEWS, NC"
93,104.0,DEVONSHIRE ELEMENTARY SCHOOL,Campaigning Permitted,DEVONSHIRE ELEMENTARY SCHOOL - GYM,"6500 BARRINGTON DR, CHARLOTTE, NC"
94,105.0,NEWELL ELEMENTARY SCHOOL,Campaigning Permitted,NEWELL ELEMENTARY SCHOOL - MULTI-PURPOSE ROOM,"325 W ROCKY RIVER RD, CHARLOTTE, NC"
95,106.0,MCCLINTOCK MIDDLE SCHOOL,Campaigning Permitted,MCCLINTOCK MIDDLE SCHOOL - GYM,"1925 RAMA ROAD, CHARLOTTE, NC"
96,107.0,ROCKWELL AME ZION CHURCH,Partially Restricted/No Signs,ROCKWELL AME ZION CHURCH - FELLOWSHIP HALL,"6301 ROCKWELL CHURCH RD, CHARLOTTE, NC"
97,108.0,HICKORY GROVE BAPTIST CHURCH,Restricted,HICKORY GROVE BAPTIST CHURCH - FAMILY LIFE CENER (ROOM 2102),"6050 HICKORY GROVE RD, CHARLOTTE, NC"
